fid,canton,prefecture,region,lat,lon,superficie_km2,points_service,dist_service_km,dist_agence_km,classe_acces
cantons.D06096306,Canton D06096306 (non nommé),Kéran,Kara,10.051057653459493,1.1908133651254522,98.3,0,9.34,18.26,5 – 10 km
cantons.D07097307,Landa,Kozah,Kara,9.675964175071323,1.255459949794513,31.8,30,0.95,15.9,< 2 km
cantons.D07097308,Soumdina,Kozah,Kara,9.637877837859461,1.261889003648538,27.2,19,0.9,12.8,< 2 km
cantons.D07097309,Lassa,Kozah,Kara,9.614726094472484,1.2361102363541923,55.3,60,0.85,9.03,< 2 km
cantons.D07097310,Commune De Kara,Kozah,Kara,9.542770862424739,1.187692463415429,127.4,1257,0.08,0.46,< 2 km
cantons.D07098311,Kouméa,Kozah,Kara,9.712921095263413,1.1919799469151784,48.3,25,0.94,10.91,< 2 km
cantons.D07098312,Tcharè,Kozah,Kara,9.669188597914488,1.1853080588132354,10.1,8,0.81,13.26,< 2 km
cantons.D07098313,Pya,Kozah,Kara,9.668874312369917,1.1403083928987474,38.2,40,0.22,11.28,< 2 km
cantons.D07098314,Tchitchao,Kozah,Kara,9.629766411183882,1.1229556200370814,33.2,9,1.49,11.32,< 2 km
cantons.D07098316,Sara-Kawa,Kozah,Kara,9.629353498027687,1.0268489871022326,87.2,9,0.45,17.51,< 2 km
cantons.D07098317,Yadè,Kozah,Kara,9.593931881291613,1.1401554523496202,19.9,16,1.53,7.11,< 2 km
cantons.D07099318,Awandjélo,Kozah,Kara,9.455870507964304,1.188183642433009,79.8,22,2.42,10.06,2 – 5 km
cantons.D07099319,Kpinzindè,Kozah,Kara,9.477962360964382,1.303257034819888,119.9,12,1.64,14.73,< 2 km
cantons.D07100320,Djamdè,Kozah,Kara,9.523472943913085,1.0442118272497658,216.4,10,1.07,15.92,< 2 km
